番号,プロジェクト名,顧客業種,期間,概要,主な担当
1,小売業向け在庫管理システム再構築プロジェクト,小売業（アパレルチェーン）,6か月,既存の在庫管理システムをクラウドベースに移行し、リアルタイム在庫管理機能を実装。拠点間の在庫情報を集約することで欠品リスクの低減や機会損失の防止を実現。,佐藤(戦略)、山田(クラウド基盤)、小林(開発)
2,製造業向けIoTデータ分析プロジェクト,製造業（自動車部品メーカー）,8か月,工場ラインのセンサー稼働データを蓄積し、機械学習モデルを用いて故障予測や生産効率向上を図る。メンテナンスコストの削減に成功。,中村(機械学習)、鈴木(PMO)、藤本(クラウドインフラ)
3,EC事業者向けレコメンドエンジン導入プロジェクト,ECサイト運営企業,4か月,購買履歴・閲覧履歴を分析し、パーソナライズレコメンドを表示するエンジンを構築。A/BテストでCVR向上に貢献。,林(NLP/リサーチ)、井上(データ分析)
4,人材サービス企業向けRPA導入・業務効率化プロジェクト,人材派遣・紹介企業,3か月,採用管理システムへの入力作業や定型メール送信などをRPAツールで自動化し、定型業務を大幅削減。人材コンサルタントがコア業務に専念できる体制を構築。,鈴木(RPA導入)、高橋(ビジネスコンサル)
5,不動産企業向け顧客管理システム刷新プロジェクト,不動産販売・管理会社,5か月,顧客情報管理と契約管理を一元化するクラウドシステムを構築。ペーパーレス化によりコスト削減と業務スピード向上を実現。,山田(アーキテクチャ設計)、井上(BI・分析ダッシュボード)
6,金融機関向けデータレイク構築支援プロジェクト,地方銀行,6か月,顧客取引データや外部データを集約するデータレイクを構築し、リスク分析や顧客分析を強化。セキュリティ要件を満たすクラウド設計が必須。,山田(クラウドセキュリティ)、中村(データ設計)、藤本(インフラ)
7,物流企業向けAIチャットボット導入プロジェクト,物流・運送企業,3か月,ドライバーや倉庫管理者からの問い合わせを自動応答するチャットボットを構築。NLP技術を用い、運送状況や在庫確認などの問い合わせ対応工数を削減。,林(NLPモデル開発)、高橋(業務要件定義)
8,教育機関向けオンライン学習プラットフォーム開発,オンライン教育サービス企業,7か月,動画コンテンツ、問題演習機能、進捗管理ダッシュボードを統合した学習プラットフォームを開発。UI/UXを強化し、学習効率を向上。,石田(UI/UX)、小林(フロントエンド開発)
9,コールセンター向け音声解析プロジェクト,コールセンター運営企業,5か月,顧客対応の音声データをテキスト化・感情分析し、オペレーターのスキル向上やFAQ最適化に活用。品質管理を強化。,林(NLP/音声解析)、中村(データ可視化)
10,ヘルスケア企業向けウェアラブルデータ分析プロジェクト,ヘルスケア・フィットネス関連,4か月,ユーザーの歩数や睡眠データを収集・分析し、個別最適化した健康アドバイスを提供するモバイルアプリを開発。プライバシーとセキュリティに配慮。,藤本(クラウド基盤)、井上(ダッシュボード分析)
11,旅行代理店向け予約管理システム移行プロジェクト,旅行代理店,6か月,オンプレミス予約管理システムをクラウド型に移行。外部サービスとのAPI連携や自動料金更新機能を実装し、予約業務を効率化。,山田(クラウドインフラ)、鈴木(PMO)
12,広告代理店向けデータ可視化プラットフォーム導入,広告代理店,3か月,複数メディアから広告効果データを統合し、リアルタイムでROIやCPAを確認できるダッシュボードを構築。短期的なキャンペーン最適化が可能に。,井上(BIツール導入)、中村(データモデリング)
13,外食産業向けSNSマーケティング分析プロジェクト,レストランチェーン,3か月,SNS上の口コミや写真投稿データを解析し、メニュー改訂や店舗施策の企画に活用。ポジネガ判定やキーワード抽出機能を実装。,林(NLP解析)、石田(視覚的プレゼン資料)
14,ゲーム開発会社向けログ分析基盤構築プロジェクト,モバイルゲーム開発会社,5か月,ゲーム内イベントやプレイヤー行動ログをビッグデータ基盤に集約し、課金タイミングや離脱ポイントを分析。キャンペーン施策の効果検証を短期間で実施。,中村(ビッグデータ解析)、藤本(インフラ構築)
15,エネルギー企業向け需要予測AIモデル開発,電力・ガス供給会社,6か月,天気や消費データを用いてエネルギー需要をAIで予測。ピークシフト施策などに関するレコメンド機能も実装。需給バランスの最適化を実現。,中村(AIモデル開発)、小林(システム連携)
16,医療機器メーカー向け顧客サポートポータル開発,医療機器メーカー,7か月,医療機関からの問い合わせや製品マニュアルを一元管理するポータルサイトを開発。UI/UXを最適化し、医療機関が必要な情報を素早く取得できる環境を提供。,石田(UI/UX)、高橋(カスタマーサクセス)
17,シェアリングエコノミー企業向け決済プラットフォーム導入支援,シェアリングエコノミーサービス,4か月,安全・スムーズなユーザー間決済を実現するため、外部決済ゲートウェイの導入や本人確認プロセスの自動化を支援。,小林(決済システム連携)、高橋(ビジネス要件整理)
18,コンサルティングファーム向けナレッジ共有システム開発,コンサルティングファーム,5か月,過去のプロジェクト事例や提案書を横断検索できるナレッジベースを構築。自然言語検索機能を導入し、情報共有を促進。,林(NLP検索機能)、鈴木(PMO)
19,アミューズメント施設向け顧客分析・ターゲティングプロジェクト,テーマパーク運営会社,4か月,チケット販売データやアトラクション利用状況から顧客セグメントを分析。リピーター増加を狙ったキャンペーンやメールマーケティングを最適化。,井上(データ分析)、石田(キャンペーンデザイン)
20,公共機関向けデジタル化推進プロジェクト,地方自治体,8か月,住民サービスや行政手続きのオンライン化を支援。オンライン窓口や予約システムを構築し、地域住民の利便性を向上。,佐藤(戦略コンサル)、山田(インフラ設計)、高橋(要件ヒアリング)